"movies","genre","rating","stars","votes","runtime","gross"
"The Hitman's Bodyguard","
Action, Comedy, Crime            ",6.9,"
    Director:
Patrick Hughes
| 
    Stars:
Ryan Reynolds, 
Samuel L. Jackson, 
Gary Oldman, 
Elodie Yung
",205979,118,75.47
"Jurassic Park","
Action, Adventure, Sci-Fi            ",8.1,"
    Director:
Steven Spielberg
| 
    Stars:
Sam Neill, 
Laura Dern, 
Jeff Goldblum, 
Richard Attenborough
",897444,127,402.45
"Don't Breathe","
Crime, Horror, Thriller            ",7.1,"
    Director:
Fede Alvarez
| 
    Stars:
Stephen Lang, 
Jane Levy, 
Dylan Minnette, 
Daniel Zovatto
",237601,88,89.22
"The Lord of the Rings: The Fellowship of the Ring","
Action, Adventure, Drama            ",8.8,"
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean
",1713028,178,315.54
"Escape Room","
Action, Adventure, Horror            ",6.4,"
    Director:
Adam Robitel
| 
    Stars:
Taylor Russell, 
Logan Miller, 
Jay Ellis, 
Tyler Labine
",99351,99,57.01
"Jaws","
Adventure, Thriller            ",8,"
    Director:
Steven Spielberg
| 
    Stars:
Roy Scheider, 
Robert Shaw, 
Richard Dreyfuss, 
Lorraine Gary
",558731,124,260
"The Departed","
Crime, Drama, Thriller            ",8.5,"
    Director:
Martin Scorsese
| 
    Stars:
Leonardo DiCaprio, 
Matt Damon, 
Jack Nicholson, 
Mark Wahlberg
",1227522,151,132.38
"Gone Girl","
Drama, Mystery, Thriller            ",8.1,"
    Director:
David Fincher
| 
    Stars:
Ben Affleck, 
Rosamund Pike, 
Neil Patrick Harris, 
Tyler Perry
",895888,149,167.77
"Jumanji: Welcome to the Jungle","
Action, Adventure, Comedy            ",6.9,"
    Director:
Jake Kasdan
| 
    Stars:
Dwayne Johnson, 
Karen Gillan, 
Kevin Hart, 
Jack Black
",337900,119,404.52
"American Psycho","
Comedy, Crime, Drama            ",7.6,"
    Director:
Mary Harron
| 
    Stars:
Christian Bale, 
Justin Theroux, 
Josh Lucas, 
Bill Sage
",517014,101,15.07
"Kill Bill: Vol. 1","
Action, Crime, Drama            ",8.1,"
    Director:
Quentin Tarantino
| 
    Stars:
Uma Thurman, 
David Carradine, 
Daryl Hannah, 
Michael Madsen
",1034554,111,70.1
"300","
Action, Drama            ",7.6,"
    Director:
Zack Snyder
| 
    Stars:
Gerard Butler, 
Lena Headey, 
David Wenham, 
Dominic West
",751815,117,210.61
"It","
Horror            ",7.3,"
    Director:
Andy Muschietti
| 
    Stars:
Bill Skarsgård, 
Jaeden Martell, 
Finn Wolfhard, 
Sophia Lillis
",480607,135,327.48
"Spider-Man: Far from Home","
Action, Adventure, Sci-Fi            ",7.5,"
    Director:
Jon Watts
| 
    Stars:
Tom Holland, 
Samuel L. Jackson, 
Jake Gyllenhaal, 
Marisa Tomei
",363012,129,390.53
"The Hobbit: An Unexpected Journey","
Adventure, Fantasy            ",7.8,"
    Director:
Peter Jackson
| 
    Stars:
Martin Freeman, 
Ian McKellen, 
Richard Armitage, 
Andy Serkis
",774632,169,303
"Clueless","
Comedy, Romance            ",6.8,"
    Director:
Amy Heckerling
| 
    Stars:
Alicia Silverstone, 
Stacey Dash, 
Brittany Murphy, 
Paul Rudd
",194461,97,56.63
"Baywatch","
Action, Comedy, Crime            ",5.5,"
    Director:
Seth Gordon
| 
    Stars:
Dwayne Johnson, 
Zac Efron, 
Alexandra Daddario, 
Priyanka Chopra Jonas
",170844,116,58.06
"Fast & Furious 7","
Action, Adventure, Thriller            ",7.1,"
    Director:
James Wan
| 
    Stars:
Vin Diesel, 
Paul Walker, 
Dwayne Johnson, 
Jason Statham
",371194,137,353.01
"Sicario","
Action, Crime, Drama            ",7.6,"
    Director:
Denis Villeneuve
| 
    Stars:
Emily Blunt, 
Josh Brolin, 
Benicio Del Toro, 
Jon Bernthal
",387903,121,46.89
"The Irishman","
Biography, Crime, Drama            ",7.8,"
    Director:
Martin Scorsese
| 
    Stars:
Robert De Niro, 
Al Pacino, 
Joe Pesci, 
Harvey Keitel
",345455,209,7
"The Lord of the Rings: The Return of the King","
Action, Adventure, Drama            ",8.9,"
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Viggo Mortensen, 
Ian McKellen, 
Orlando Bloom
",1691777,201,377.85
"Baby Driver","
Action, Crime, Drama            ",7.6,"
    Director:
Edgar Wright
| 
    Stars:
Ansel Elgort, 
Jon Bernthal, 
Jon Hamm, 
Eiza González
",468655,113,107.83
"Spider-Man","
Action, Adventure, Sci-Fi            ",7.3,"
    Director:
Sam Raimi
| 
    Stars:
Tobey Maguire, 
Kirsten Dunst, 
Willem Dafoe, 
James Franco
",709684,121,403.71
"Jumanji: The Next Level","
Action, Adventure, Comedy            ",6.7,"
    Director:
Jake Kasdan
| 
    Stars:
Dwayne Johnson, 
Jack Black, 
Kevin Hart, 
Karen Gillan
",205638,123,316.83
"Arrival","
Drama, Sci-Fi            ",7.9,"
    Director:
Denis Villeneuve
| 
    Stars:
Amy Adams, 
Jeremy Renner, 
Forest Whitaker, 
Michael Stuhlbarg
",623912,116,100.55
"Taxi Driver","
Crime, Drama            ",8.2,"
    Director:
Martin Scorsese
| 
    Stars:
Robert De Niro, 
Jodie Foster, 
Cybill Shepherd, 
Albert Brooks
",752553,114,28.26
"Grease","
Musical, Romance            ",7.2,"
    Director:
Randal Kleiser
| 
    Stars:
John Travolta, 
Olivia Newton-John, 
Stockard Channing, 
Jeff Conaway
",250587,110,188.76
"Venom","
Action, Adventure, Sci-Fi            ",6.7,"
    Director:
Ruben Fleischer
| 
    Stars:
Tom Hardy, 
Michelle Williams, 
Riz Ahmed, 
Scott Haze
",390167,112,213.52
"The Fate of the Furious","
Action, Adventure, Crime            ",6.6,"
    Director:
F. Gary Gray
| 
    Stars:
Vin Diesel, 
Jason Statham, 
Dwayne Johnson, 
Michelle Rodriguez
",215795,136,226.01
"Captain America: Civil War","
Action, Adventure, Sci-Fi            ",7.8,"
    Directors:
Anthony Russo, 
Joe Russo
| 
    Stars:
Chris Evans, 
Robert Downey Jr., 
Scarlett Johansson, 
Sebastian Stan
",697750,147,408.08
"Sen to Chihiro no kamikakushi","
Animation, Adventure, Family            ",8.6,"
    Director:
Hayao Miyazaki
| 
    Stars:
Daveigh Chase, 
Suzanne Pleshette, 
Miyu Irino, 
Rumi Hiiragi
",682809,125,10.06
"The Girl in the Spider's Web","
Action, Crime, Drama            ",6.1,"
    Director:
Fede Alvarez
| 
    Stars:
Claire Foy, 
Beau Gadsdon, 
Sverrir Gudnason, 
LaKeith Stanfield
",43896,115,14.84
"Kong: Skull Island","
Action, Adventure, Fantasy            ",6.6,"
    Director:
Jordan Vogt-Roberts
| 
    Stars:
Tom Hiddleston, 
Samuel L. Jackson, 
Brie Larson, 
John C. Reilly
",294292,118,168.05
"The Revenant","
Action, Adventure, Drama            ",8,"
    Director:
Alejandro G. Iñárritu
| 
    Stars:
Leonardo DiCaprio, 
Tom Hardy, 
Will Poulter, 
Domhnall Gleeson
",732244,156,183.64
"The Lord of the Rings: The Two Towers","
Action, Adventure, Drama            ",8.7,"
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Ian McKellen, 
Viggo Mortensen, 
Orlando Bloom
",1529752,179,342.55
"Legally Blonde","
Comedy, Romance            ",6.3,"
    Director:
Robert Luketic
| 
    Stars:
Reese Witherspoon, 
Luke Wilson, 
Selma Blair, 
Matthew Davis
",195752,96,96.52
"Ocean's Eight","
Action, Comedy, Crime            ",6.3,"
    Director:
Gary Ross
| 
    Stars:
Sandra Bullock, 
Cate Blanchett, 
Anne Hathaway, 
Mindy Kaling
",197909,110,140.22
"Pirates of the Caribbean: Dead Men Tell No Tales","
Action, Adventure, Fantasy            ",6.5,"
    Directors:
Joachim Rønning, 
Espen Sandberg
| 
    Stars:
Johnny Depp, 
Geoffrey Rush, 
Javier Bardem, 
Orlando Bloom
",276173,129,172.56
"2001: A Space Odyssey","
Adventure, Sci-Fi            ",8.3,"
    Director:
Stanley Kubrick
| 
    Stars:
Keir Dullea, 
Gary Lockwood, 
William Sylvester, 
Daniel Richter
",622998,149,56.95
"Batman v Superman: Dawn of Justice","
Action, Adventure, Sci-Fi            ",6.4,"
    Director:
Zack Snyder
| 
    Stars:
Ben Affleck, 
Henry Cavill, 
Amy Adams, 
Jesse Eisenberg
",657423,152,330.36
"Mother!","
Drama, Horror, Mystery            ",6.6,"
    Director:
Darren Aronofsky
| 
    Stars:
Jennifer Lawrence, 
Javier Bardem, 
Ed Harris, 
Michelle Pfeiffer
",201141,121,17.8
"National Lampoon's Animal House","
Comedy            ",7.5,"
    Director:
John Landis
| 
    Stars:
John Belushi, 
Karen Allen, 
Tom Hulce, 
Stephen Furst
",115289,109,0.2
"Midnight in Paris","
Comedy, Fantasy, Romance            ",7.7,"
    Director:
Woody Allen
| 
    Stars:
Owen Wilson, 
Rachel McAdams, 
Kathy Bates, 
Kurt Fuller
",399157,94,56.82
"Kill Bill: Vol. 2","
Action, Crime, Thriller            ",8,"
    Director:
Quentin Tarantino
| 
    Stars:
Uma Thurman, 
David Carradine, 
Michael Madsen, 
Daryl Hannah
",706053,137,66.21
"Moneyball","
Biography, Drama, Sport            ",7.6,"
    Director:
Bennett Miller
| 
    Stars:
Brad Pitt, 
Robin Wright, 
Jonah Hill, 
Philip Seymour Hoffman
",386263,133,75.61
"Snowpiercer","
Action, Drama, Sci-Fi            ",7.1,"
    Director:
Bong Joon Ho
| 
    Stars:
Chris Evans, 
Jamie Bell, 
Tilda Swinton, 
Ed Harris
",335946,126,4.56
"300: Rise of an Empire","
Action, Drama            ",6.2,"
    Director:
Noam Murro
| 
    Stars:
Sullivan Stapleton, 
Eva Green, 
Lena Headey, 
Hans Matheson
",286734,102,106.58
"Kimi no na wa.","
Animation, Drama, Fantasy            ",8.4,"
    Director:
Makoto Shinkai
| 
    Stars:
Ryûnosuke Kamiki, 
Mone Kamishiraishi, 
Ryô Narita, 
Aoi Yûki
",217433,106,5.02
"Booksmart","
Comedy            ",7.2,"
    Director:
Olivia Wilde
| 
    Stars:
Kaitlyn Dever, 
Beanie Feldstein, 
Jessica Williams, 
Jason Sudeikis
",103143,102,22.68
"Jaws 2","
Adventure, Horror, Thriller            ",5.8,"
    Director:
Jeannot Szwarc
| 
    Stars:
Roy Scheider, 
Lorraine Gary, 
Murray Hamilton, 
Joseph Mascolo
",73931,116,102.92
"Tropic Thunder","
Action, Comedy, War            ",7,"
    Director:
Ben Stiller
| 
    Stars:
Ben Stiller, 
Jack Black, 
Robert Downey Jr., 
Jeff Kahn
",391033,107,110.52
"Beauty and the Beast","
Family, Fantasy, Musical            ",7.1,"
    Director:
Bill Condon
| 
    Stars:
Emma Watson, 
Dan Stevens, 
Luke Evans, 
Josh Gad
",284484,129,504.01
"Hell or High Water","
Action, Crime, Drama            ",7.6,"
    Director:
David Mackenzie
| 
    Stars:
Chris Pine, 
Ben Foster, 
Jeff Bridges, 
Gil Birmingham
",211816,102,26.86
"Marriage Story","
Comedy, Drama, Romance            ",7.9,"
    Director:
Noah Baumbach
| 
    Stars:
Adam Driver, 
Scarlett Johansson, 
Julia Greer, 
Azhy Robertson
",266307,137,2
"Annihilation","
Adventure, Drama, Horror            ",6.8,"
    Director:
Alex Garland
| 
    Stars:
Natalie Portman, 
Jennifer Jason Leigh, 
Tessa Thompson, 
Benedict Wong
",293459,115,32.73
"Wind River","
Crime, Drama, Mystery            ",7.7,"
    Director:
Taylor Sheridan
| 
    Stars:
Elizabeth Olsen, 
Jeremy Renner, 
Graham Greene, 
Kelsey Asbille
",218337,107,33.8
"Frozen","
Animation, Adventure, Comedy            ",7.4,"
    Directors:
Chris Buck, 
Jennifer Lee
| 
    Stars:
Kristen Bell, 
Idina Menzel, 
Jonathan Groff, 
Josh Gad
",586769,102,400.74
"Lo imposible","
Drama, History, Thriller            ",7.6,"
    Director:
J.A. Bayona
| 
    Stars:
Naomi Watts, 
Ewan McGregor, 
Tom Holland, 
Oaklee Pendergast
",208903,114,19.02
"The Nice Guys","
Action, Comedy, Crime            ",7.4,"
    Director:
Shane Black
| 
    Stars:
Russell Crowe, 
Ryan Gosling, 
Angourie Rice, 
Matt Bomer
",295435,116,36.26
"The Snowman","
Crime, Drama, Thriller            ",5.1,"
    Director:
Tomas Alfredson
| 
    Stars:
Michael Fassbender, 
Rebecca Ferguson, 
Charlotte Gainsbourg, 
Jonas Karlsson
",60354,119,6.67
"Moonrise Kingdom","
Comedy, Drama, Romance            ",7.8,"
    Director:
Wes Anderson
| 
    Stars:
Jared Gilman, 
Kara Hayward, 
Bruce Willis, 
Bill Murray
",328550,94,45.51
"Contagion","
Drama, Thriller            ",6.7,"
    Director:
Steven Soderbergh
| 
    Stars:
Matt Damon, 
Kate Winslet, 
Jude Law, 
Gwyneth Paltrow
",290444,106,75.66
"This Is England","
Crime, Drama            ",7.7,"
    Director:
Shane Meadows
| 
    Stars:
Thomas Turgoose, 
Stephen Graham, 
Jo Hartley, 
Andrew Shim
",117889,101,0.33
"Willy Wonka & the Chocolate Factory","
Family, Fantasy, Musical            ",7.8,"
    Director:
Mel Stuart
| 
    Stars:
Gene Wilder, 
Jack Albertson, 
Peter Ostrum, 
Roy Kinnear
",186202,100,4
"Homefront","
Action, Crime, Thriller            ",6.5,"
    Director:
Gary Fleder
| 
    Stars:
Jason Statham, 
James Franco, 
Winona Ryder, 
Kate Bosworth
",113476,100,20.16
"Dead Poets Society","
Comedy, Drama            ",8.1,"
    Director:
Peter Weir
| 
    Stars:
Robin Williams, 
Robert Sean Leonard, 
Ethan Hawke, 
Josh Charles
",443357,128,95.86
"There's Something About Mary","
Comedy, Romance            ",7.1,"
    Directors:
Bobby Farrelly, 
Peter Farrelly
| 
    Stars:
Cameron Diaz, 
Matt Dillon, 
Ben Stiller, 
Lee Evans
",298729,119,176.48
"Lucy","
Action, Sci-Fi, Thriller            ",6.4,"
    Director:
Luc Besson
| 
    Stars:
Scarlett Johansson, 
Morgan Freeman, 
Choi Min-sik, 
Amr Waked
",462122,89,126.66
"The Mummy","
Action, Adventure, Fantasy            ",5.4,"
    Director:
Alex Kurtzman
| 
    Stars:
Tom Cruise, 
Sofia Boutella, 
Annabelle Wallis, 
Russell Crowe
",177592,110,80.1
"Birdman or (The Unexpected Virtue of Ignorance)","
Comedy, Drama            ",7.7,"
    Director:
Alejandro G. Iñárritu
| 
    Stars:
Michael Keaton, 
Zach Galifianakis, 
Edward Norton, 
Andrea Riseborough
",595946,119,42.34
"Knock Knock","
Drama, Thriller            ",4.9,"
    Director:
Eli Roth
| 
    Stars:
Keanu Reeves, 
Lorenza Izzo, 
Ana de Armas, 
Aaron Burns
",87474,99,0.04
"Hauru no ugoku shiro","
Animation, Adventure, Family            ",8.2,"
    Director:
Hayao Miyazaki
| 
    Stars:
Chieko Baishô, 
Takuya Kimura, 
Tatsuya Gashûin, 
Akihiro Miwa
",351466,119,4.71
"Now You See Me","
Crime, Mystery, Thriller            ",7.2,"
    Director:
Louis Leterrier
| 
    Stars:
Jesse Eisenberg, 
Common, 
Mark Ruffalo, 
Woody Harrelson
",614056,115,117.72
"The Lost World: Jurassic Park","
Action, Adventure, Sci-Fi            ",6.6,"
    Director:
Steven Spielberg
| 
    Stars:
Jeff Goldblum, 
Julianne Moore, 
Pete Postlethwaite, 
Vince Vaughn
",390425,129,229.09
"Geostorm","
Action, Sci-Fi, Thriller            ",5.3,"
    Director:
Dean Devlin
| 
    Stars:
Gerard Butler, 
Jim Sturgess, 
Abbie Cornish, 
Alexandra Maria Lara
",99724,109,33.7
"Sausage Party","
Animation, Adventure, Comedy            ",6.1,"
    Directors:
Greg Tiernan, 
Conrad Vernon
| 
    Stars:
Seth Rogen, 
Kristen Wiig, 
Jonah Hill, 
Alistair Abell
",181775,89,97.69
"The Next Three Days","
Action, Crime, Drama            ",7.3,"
    Director:
Paul Haggis
| 
    Stars:
Russell Crowe, 
Elizabeth Banks, 
Liam Neeson, 
Michael Buie
",189815,133,21.15
"Moonlight","
Drama            ",7.4,"
    Director:
Barry Jenkins
| 
    Stars:
Mahershala Ali, 
Naomie Harris, 
Trevante Rhodes, 
Alex R. Hibbert
",285273,111,27.85
"In the Heart of the Sea","
Action, Adventure, Biography            ",6.9,"
    Director:
Ron Howard
| 
    Stars:
Chris Hemsworth, 
Cillian Murphy, 
Brendan Gleeson, 
Ben Whishaw
",128605,122,25.02
"Contact","
Drama, Mystery, Sci-Fi            ",7.5,"
    Director:
Robert Zemeckis
| 
    Stars:
Jodie Foster, 
Matthew McConaughey, 
Tom Skerritt, 
John Hurt
",261289,150,100.92
"Climax","
Drama, Horror, Music            ",7,"
    Director:
Gaspar Noé
| 
    Stars:
Sofia Boutella, 
Romain Guillermic, 
Souheila Yacoub, 
Kiddy Smile
",58051,97,0.8
"Gods of Egypt","
Action, Adventure, Fantasy            ",5.4,"
    Director:
Alex Proyas
| 
    Stars:
Brenton Thwaites, 
Nikolaj Coster-Waldau, 
Gerard Butler, 
Chadwick Boseman
",109959,127,31.15
"Kung Fu Panda 3","
Animation, Action, Adventure            ",7.1,"
    Directors:
Alessandro Carloni, 
Jennifer Yuh Nelson
| 
    Stars:
Jack Black, 
Bryan Cranston, 
Dustin Hoffman, 
Angelina Jolie
",141657,95,143.53
"Ender's Game","
Action, Adventure, Fantasy            ",6.6,"
    Director:
Gavin Hood
| 
    Stars:
Harrison Ford, 
Asa Butterfield, 
Hailee Steinfeld, 
Abigail Breslin
",228812,114,61.74
"Planet of the Apes","
Adventure, Sci-Fi            ",8,"
    Director:
Franklin J. Schaffner
| 
    Stars:
Charlton Heston, 
Roddy McDowall, 
Kim Hunter, 
Maurice Evans
",170681,112,33.4
"Downsizing","
Drama, Fantasy, Sci-Fi            ",5.7,"
    Director:
Alexander Payne
| 
    Stars:
Matt Damon, 
Christoph Waltz, 
Hong Chau, 
Kristen Wiig
",102222,135,24.45
"Lone Survivor","
Action, Biography, Drama            ",7.5,"
    Director:
Peter Berg
| 
    Stars:
Mark Wahlberg, 
Taylor Kitsch, 
Emile Hirsch, 
Ben Foster
",273061,121,125.1
"The Founder","
Biography, Drama            ",7.2,"
    Director:
John Lee Hancock
| 
    Stars:
Michael Keaton, 
Nick Offerman, 
John Carroll Lynch, 
Linda Cardellini
",134759,115,12.79
"Mononoke-hime","
Animation, Action, Adventure            ",8.4,"
    Director:
Hayao Miyazaki
| 
    Stars:
Yôji Matsuda, 
Yuriko Ishida, 
Yûko Tanaka, 
Billy Crudup
",359473,134,2.38
"101 Dalmatians","
Adventure, Comedy, Crime            ",5.7,"
    Director:
Stephen Herek
| 
    Stars:
Glenn Close, 
Jeff Daniels, 
Joely Richardson, 
Joan Plowright
",106580,103,136.19
"Rampage","
Action, Adventure, Sci-Fi            ",6.1,"
    Director:
Brad Peyton
| 
    Stars:
Dwayne Johnson, 
Naomie Harris, 
Malin Akerman, 
Jeffrey Dean Morgan
",151688,107,101.03
"The Croods","
Animation, Adventure, Comedy            ",7.2,"
    Directors:
Kirk DeMicco, 
Chris Sanders
| 
    Stars:
Nicolas Cage, 
Ryan Reynolds, 
Emma Stone, 
Catherine Keener
",200206,98,187.17
"The Firm","
Drama, Mystery, Thriller            ",6.8,"
    Director:
Sydney Pollack
| 
    Stars:
Tom Cruise, 
Jeanne Tripplehorn, 
Gene Hackman, 
Hal Holbrook
",124972,154,158.35
"The Clovehitch Killer","
Crime, Drama, Mystery            ",6.6,"
    Director:
Duncan Skiles
| 
    Stars:
Dylan McDermott, 
Charlie Plummer, 
Samantha Mathis, 
Madisen Beaty
",21572,109,0.01
"Death Wish","
Action, Crime, Drama            ",6.3,"
    Director:
Eli Roth
| 
    Stars:
Bruce Willis, 
Vincent D'Onofrio, 
Elisabeth Shue, 
Camila Morrone
",68094,107,34.02
"The Blues Brothers","
Action, Adventure, Comedy            ",7.9,"
    Director:
John Landis
| 
    Stars:
John Belushi, 
Dan Aykroyd, 
Cab Calloway, 
John Candy
",188459,133,57.23
"Unknown","
Action, Mystery, Thriller            ",6.8,"
    Director:
Jaume Collet-Serra
| 
    Stars:
Liam Neeson, 
Diane Kruger, 
January Jones, 
Aidan Quinn
",253999,113,63.69
"Hunt for the Wilderpeople","
Adventure, Comedy, Drama            ",7.9,"
    Director:
Taika Waititi
| 
    Stars:
Sam Neill, 
Julian Dennison, 
Rima Te Wiata, 
Rachel House
",118166,101,5.2
"Monty Python and the Holy Grail","
Adventure, Comedy, Fantasy            ",8.2,"
    Directors:
Terry Gilliam, 
Terry Jones
| 
    Stars:
Graham Chapman, 
John Cleese, 
Eric Idle, 
Terry Gilliam
",513289,91,1.23
"The Best of Enemies","
Biography, Drama, History            ",7.2,"
    Director:
Robin Bissell
| 
    Stars:
Taraji P. Henson, 
Sam Rockwell, 
Babou Ceesay, 
Anne Heche
",13196,133,10.21
"Atomic Blonde","
Action, Thriller            ",6.7,"
    Director:
David Leitch
| 
    Stars:
Charlize Theron, 
James McAvoy, 
John Goodman, 
Eddie Marsan
",182505,115,51.69
"Rango","
Animation, Adventure, Comedy            ",7.2,"
    Director:
Gore Verbinski
| 
    Stars:
Johnny Depp, 
Isla Fisher, 
Timothy Olyphant, 
Abigail Breslin
",245778,107,123.48
"The Lucky One","
Drama, Mystery, Romance            ",6.5,"
    Director:
Scott Hicks
| 
    Stars:
Zac Efron, 
Taylor Schilling, 
Blythe Danner, 
Riley Thomas Stewart
",103765,101,60.46
"Spy Kids","
Action, Adventure, Comedy            ",5.5,"
    Director:
Robert Rodriguez
| 
    Stars:
Alexa PenaVega, 
Daryl Sabara, 
Antonio Banderas, 
Carla Gugino
",111413,88,112.72
"White House Down","
Action, Drama, Thriller            ",6.3,"
    Director:
Roland Emmerich
| 
    Stars:
Channing Tatum, 
Jamie Foxx, 
Maggie Gyllenhaal, 
Jason Clarke
",211395,131,73.1
"The Human Centipede (First Sequence)","
Horror            ",4.4,"
    Director:
Tom Six
| 
    Stars:
Dieter Laser, 
Ashley C. Williams, 
Ashlynn Yennie, 
Akihiro Kitamura
",75214,92,0.18
"Cars 3","
Animation, Adventure, Comedy            ",6.7,"
    Director:
Brian Fee
| 
    Stars:
Owen Wilson, 
Cristela Alonzo, 
Chris Cooper, 
Nathan Fillion
",83135,102,152.9
